LinearVel.X,LinearVel.Y,LinearAcc.X,LinearAcc.Y,AngularVel.Z,AngularAcc.Z,VelMulDelta.X,VelMulDelta.Y, Angvelmuldelta.Z,GTruthPosDiff.X,GTruthPosDiff.Y,GTruthRotDiff.Z
-18.660040,30.676468,-85.373301,-47.925101,3.926991,4.363206,-1.866004,3.067647,0.392699,-232.020419,258.571302,0.392699,
-26.085567,21.943004,-74.255269,-87.334646,3.926991,0.000000,-2.608557,2.194300,0.392699,-287.180039,155.300854,-5.890486,
-30.014940,10.745941,-39.293731,-111.970627,-58.904862,-628.318515,-3.001494,1.074594,-5.890486,-301.135390,39.283451,0.392699,
-29.574088,-0.854153,4.408518,-116.000937,3.926991,628.318515,-2.957409,-0.085415,0.392699,-272.493455,-69.278026,0.392699,
-25.088221,-10.944316,44.858675,-100.901631,3.926991,0.000000,-2.508822,-1.094432,0.392699,-209.310483,-154.207364,0.392699,
-17.646719,-18.151584,74.415022,-72.072673,3.926991,0.000000,-1.764672,-1.815158,0.392699,-124.855870,-205.685074,0.392699,
-8.694033,-21.778533,89.526855,-36.269489,3.926991,-0.000000,-0.869403,-2.177853,0.392699,-33.968335,-220.584316,0.392699,
0.296512,-21.775683,89.905446,0.028494,3.926991,0.000000,0.029651,-2.177568,0.392699,48.174814,-203.420651,0.130900,
7.546318,-19.269547,72.498060,25.061357,1.308997,-26.179939,0.754632,-1.926955,0.130900,100.394543,-182.241793,0.000000,
11.495308,-17.638779,39.489905,16.307685,0.000000,-13.089969,1.149531,-1.763878,0.000000,128.857294,-172.359746,-0.043633,
13.674282,-17.109934,21.789735,5.288450,-0.436332,-4.363323,1.367428,-1.710993,-0.043633,139.148813,-168.566370,-0.052360,
13.434460,-16.190959,-2.398215,9.189747,-0.523599,-0.872665,1.343446,-1.619096,-0.052360,124.448632,-149.983151,-0.052360,
11.744894,-14.154725,-16.895666,20.362339,-0.523599,0.000000,1.174489,-1.415473,-0.052360,107.845954,-129.973916,-0.052360,
10.105387,-12.178822,-16.395069,19.759029,-0.523599,-0.000000,1.010539,-1.217882,-0.052360,91.736880,-110.559563,-0.052360,
8.514425,-10.261425,-15.909620,19.173975,-0.523599,0.000000,0.851442,-1.026142,-0.052360,82.485344,-111.445328,-0.052360,
8.075304,-11.749927,-4.391213,-14.885026,-0.523599,0.000000,0.807530,-1.174993,-0.052360,78.964355,-126.201401,-0.052360,
7.701919,-13.118162,-3.733844,-13.682344,-0.523599,0.000000,0.770192,-1.311816,-0.052360,74.821286,-138.812600,-0.043633,
7.319431,-14.420713,-3.824880,-13.025511,-0.436332,0.872665,0.731943,-1.442071,-0.043633,71.914694,-151.183690,0.000000,
